No,No,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
561,763,2008,1,3,4,850,740,1046,940,WN,1016,N765SW,236,240,220,66,70,MDW,LAS,1521,5,11,0,N,0,57,0,0,0,9
563,765,2008,1,3,4,853,830,1048,1030,WN,2295,N404WN,235,240,223,18,23,MDW,LAS,1521,3,9,0,N,0,18,0,0,0,0
564,766,2008,1,3,4,2011,1925,2205,2125,WN,2449,N454WN,234,240,218,40,46,MDW,LAS,1521,9,7,0,N,0,35,0,0,0,5
565,767,2008,1,3,4,1508,1430,1700,1630,WN,3844,N446WN,232,240,220,30,38,MDW,LAS,1521,4,8,0,N,0,27,0,0,0,3
566,769,2008,1,3,4,732,655,957,925,WN,184,N473WN,265,270,243,32,37,MDW,LAX,1750,11,11,0,N,0,26,0,0,0,6
567,770,2008,1,3,4,2116,2100,2352,2330,WN,587,N435WN,276,270,249,22,16,MDW,LAX,1750,6,21,0,N,0,12,0,6,0,4
568,771,2008,1,3,4,1533,1500,1802,1730,WN,829,N476WN,269,270,256,32,33,MDW,LAX,1750,5,8,0,N,0,31,0,0,0,1
569,772,2008,1,3,4,1243,1140,1505,1415,WN,2979,N901WN,262,275,249,50,63,MDW,LAX,1750,7,6,0,N,0,39,0,0,0,11
572,775,2008,1,3,4,1600,1500,1735,1645,WN,49,N502SW,95,105,78,50,60,MDW,LIT,544,4,13,0,N,0,21,0,0,0,29
573,776,2008,1,3,4,746,715,904,840,WN,19,N511SW,78,85,62,24,31,MDW,MCI,405,5,11,0,N,0,14,0,0,0,10
574,777,2008,1,3,4,1113,1040,1229,1205,WN,33,N525SW,76,85,64,24,33,MDW,MCI,405,4,8,0,N,0,16,0,0,0,8
575,778,2008,1,3,4,1832,1720,1952,1845,WN,59,N628SW,80,85,66,67,72,MDW,MCI,405,5,9,0,N,0,43,0,0,0,24
576,779,2008,1,3,4,1422,1245,1546,1410,WN,132,N704SW,84,85,64,96,97,MDW,MCI,405,5,15,0,N,0,65,0,0,0,31
577,780,2008,1,3,4,2201,2135,2319,2300,WN,342,N246LV,78,85,64,19,26,MDW,MCI,405,4,10,0,N,0,12,0,0,0,7
578,781,2008,1,3,4,915,845,1034,1010,WN,407,N636WN,79,85,63,24,30,MDW,MCI,405,4,12,0,N,0,11,0,0,0,13
579,782,2008,1,3,4,950,925,1107,1050,WN,449,N528SW,77,85,64,17,25,MDW,MCI,405,4,9,0,N,0,17,0,0,0,0
581,786,2008,1,3,4,1620,1505,1737,1630,WN,1257,N507SW,77,85,61,67,75,MDW,MCI,405,4,12,0,N,0,12,0,0,0,55
582,787,2008,1,3,4,1714,1620,1832,1745,WN,2900,N504SW,78,85,64,47,54,MDW,MCI,405,4,10,0,N,0,33,0,0,0,14
583,788,2008,1,3,4,1333,1300,1650,1630,WN,401,N242WN,137,150,125,20,33,MDW,MCO,989,3,9,0,N,0,16,0,0,0,4
585,790,2008,1,3,4,2059,2005,19,2335,WN,1189,N231WN,140,150,127,44,54,MDW,MCO,989,4,9,0,N,0,24,0,0,0,20
588,793,2008,1,3,4,1120,1020,1435,1350,WN,2631,N470WN,135,150,126,45,60,MDW,MCO,989,3,6,0,N,0,25,0,0,0,20
589,794,2008,1,3,4,1804,1710,2129,2040,WN,3050,N481WN,145,150,126,49,54,MDW,MCO,989,6,13,0,N,0,16,0,0,0,33
590,795,2008,1,3,4,2124,1935,48,2305,WN,3919,N746SW,144,150,126,103,109,MDW,MCO,989,3,15,0,N,0,13,0,0,0,90
591,796,2008,1,3,4,2143,2015,37,2315,WN,396,N407WN,114,120,100,82,88,MDW,MHT,838,4,10,0,N,0,82,0,0,0,0
592,797,2008,1,3,4,645,635,957,935,WN,1674,N422WN,132,120,109,22,10,MDW,MHT,838,3,20,0,N,0,10,0,12,0,0
593,798,2008,1,3,4,1849,1805,2146,2110,WN,1951,N674AA,117,125,106,36,44,MDW,MHT,838,4,7,0,N,0,31,0,0,0,5
594,799,2008,1,3,4,1417,1345,1717,1645,WN,2524,N458WN,120,120,105,32,32,MDW,MHT,838,4,11,0,N,0,28,0,0,0,4
595,800,2008,1,3,4,1103,1040,1359,1340,WN,2813,N761RR,116,120,106,19,23,MDW,MHT,838,3,7,0,N,0,19,0,0,0,0
597,802,2008,1,3,4,954,905,1240,1150,WN,142,N758SW,286,285,265,50,49,MDW,OAK,1844,4,17,0,N,0,49,0,1,0,0
598,803,2008,1,3,4,1412,1155,1659,1435,WN,562,N739GB,287,280,272,144,137,MDW,OAK,1844,6,9,0,N,0,47,0,7,0,90
599,804,2008,1,3,4,2117,2010,11,2250,WN,1076,N411WN,294,280,265,81,67,MDW,OAK,1844,5,24,0,N,0,41,0,14,0,26
600,806,2008,1,3,4,1443,1330,1743,1615,WN,2195,N479WN,300,285,272,88,73,MDW,OAK,1844,17,11,0,N,0,40,0,15,0,33
601,807,2008,1,3,4,1020,955,1137,1120,WN,555,N506SW,77,85,68,17,25,MDW,OMA,423,2,7,0,N,0,8,0,0,0,9
602,808,2008,1,3,4,1429,1235,1547,1400,WN,1066,N440LV,78,85,63,107,114,MDW,OMA,423,3,12,0,N,0,100,0,0,0,7
603,809,2008,1,3,4,1841,1735,2004,1900,WN,1423,N658SW,83,85,68,64,66,MDW,OMA,423,3,12,0,N,0,63,0,0,0,1
605,811,2008,1,3,4,2239,2115,2358,2240,WN,3491,N523SW,79,85,67,78,84,MDW,OMA,423,2,10,0,N,0,7,0,0,0,71
606,812,2008,1,3,4,1741,1600,1901,1725,WN,3832,N205WN,80,85,66,96,101,MDW,OMA,423,2,12,0,N,0,9,0,0,0,87
608,814,2008,1,3,4,2041,1915,2327,2210,WN,3510,N298WN,106,115,92,77,86,MDW,ORF,704,3,11,0,N,0,77,0,0,0,0
610,816,2008,1,3,4,1921,1835,2142,2105,WN,2804,N255WN,261,270,244,37,46,MDW,PDX,1751,4,13,0,N,0,37,0,0,0,0
613,820,2008,1,3,4,2047,1845,2331,2145,WN,1136,N733SA,104,120,90,106,122,MDW,PHL,668,5,9,0,N,0,21,0,0,0,85
614,821,2008,1,3,4,1812,1715,2054,2025,WN,2789,N209WN,102,130,86,29,57,MDW,PHL,668,6,10,0,N,0,12,0,0,0,17
615,822,2008,1,3,4,618,600,912,855,WN,3153,N347SW,114,115,95,17,18,MDW,PHL,668,4,15,0,N,0,17,0,0,0,0
617,824,2008,1,3,4,2205,2135,43,25,WN,3927,N459WN,98,110,84,18,30,MDW,PHL,668,4,10,0,N,0,4,0,0,0,14
620,827,2008,1,3,4,1608,1510,1902,1805,WN,921,N430WN,234,235,215,57,58,MDW,PHX,1444,5,14,0,N,0,43,0,0,0,14
621,828,2008,1,3,4,2126,2010,24,2300,WN,1023,N216WR,238,230,215,84,76,MDW,PHX,1444,3,20,0,N,0,35,0,8,0,41
622,829,2008,1,3,4,1757,1725,2043,2020,WN,1827,N420WN,226,235,212,23,32,MDW,PHX,1444,6,8,0,N,0,23,0,0,0,0
623,830,2008,1,3,4,1310,1245,1555,1540,WN,1842,N723SW,225,235,209,15,25,MDW,PHX,1444,5,11,0,N,0,15,0,0,0,0
624,831,2008,1,3,4,2234,2130,118,15,WN,3336,N208WN,224,225,212,63,64,MDW,PHX,1444,4,8,0,N,0,32,0,0,0,31
625,832,2008,1,3,4,1038,1010,1322,1300,WN,3501,N732SW,224,230,208,22,28,MDW,PHX,1444,5,11,0,N,0,22,0,0,0,0
626,833,2008,1,3,4,2146,2050,2350,2305,WN,337,N488WN,64,75,52,45,56,MDW,PIT,402,3,9,0,N,0,19,0,0,0,26
628,835,2008,1,3,4,1542,1515,1805,1730,WN,2445,N651SW,83,75,64,35,27,MDW,PIT,402,8,11,0,N,0,27,0,8,0,0
629,836,2008,1,3,4,1147,1115,1402,1330,WN,3170,N430WN,75,75,60,32,32,MDW,PIT,402,6,9,0,N,0,32,0,0,0,0
630,837,2008,1,3,4,1852,1755,2059,2010,WN,3249,N208WN,67,75,57,49,57,MDW,PIT,402,4,6,0,N,0,28,0,0,0,21
631,840,2008,1,3,4,2154,2030,50,2335,WN,2174,N623SW,116,125,104,75,84,MDW,PVD,842,4,8,0,N,0,40,0,0,0,35
633,842,2008,1,3,4,1853,1815,2153,2120,WN,3831,N451WN,120,125,105,33,38,MDW,PVD,842,5,10,0,N,0,14,0,0,0,19
634,843,2008,1,3,4,1555,1515,1834,1805,WN,255,N411WN,99,110,85,29,40,MDW,RDU,632,3,11,0,N,0,20,0,0,0,9
635,844,2008,1,3,4,1229,1210,1511,1455,WN,1429,N657SW,102,105,88,16,19,MDW,RDU,632,3,11,0,N,0,13,0,0,0,3
636,845,2008,1,3,4,2103,2020,2340,2300,WN,3063,N551WN,97,100,81,40,43,MDW,RDU,632,3,13,0,N,0,35,0,0,0,5
638,847,2008,1,3,4,1523,1435,1734,1650,WN,1276,N265WN,251,255,238,44,48,MDW,RNO,1680,5,8,0,N,0,31,0,0,0,13
639,849,2008,1,3,4,2058,1955,38,2340,WN,1558,N310SW,160,165,143,58,63,MDW,RSW,1105,5,12,0,N,0,52,0,0,0,6
640,850,2008,1,3,4,1138,915,1517,1305,WN,3413,N374SW,159,170,144,132,143,MDW,RSW,1105,4,11,0,N,0,132,0,0,0,0
641,851,2008,1,3,4,1341,1240,1602,1505,WN,299,N718SW,261,265,249,57,61,MDW,SAN,1728,3,9,0,N,0,57,0,0,0,0
642,852,2008,1,3,4,720,630,934,855,WN,339,N213WN,254,265,243,39,50,MDW,SAN,1728,3,8,0,N,0,39,0,0,0,0
643,853,2008,1,3,4,914,820,1129,1045,WN,635,N729SW,255,265,244,44,54,MDW,SAN,1728,3,8,0,N,0,40,0,0,0,4
644,854,2008,1,3,4,1457,1430,1725,1655,WN,1188,N254WN,268,265,258,30,27,MDW,SAN,1728,2,8,0,N,0,23,0,3,0,4
645,855,2008,1,3,4,1933,1835,2202,2100,WN,2729,N754SW,269,265,253,62,58,MDW,SAN,1728,4,12,0,N,0,55,0,4,0,3
647,857,2008,1,3,4,2112,1845,2346,2140,WN,1394,N294WN,154,175,134,126,147,MDW,SAT,1036,3,17,0,N,0,44,0,0,0,82
648,858,2008,1,3,4,2241,2055,48,2300,WN,74,N764SW,67,65,53,108,106,MDW,SDF,271,5,9,0,N,0,54,0,2,0,52
650,860,2008,1,3,4,1835,1755,2035,2000,WN,693,N232WN,60,65,44,35,40,MDW,SDF,271,5,11,0,N,0,9,0,0,0,26
651,861,2008,1,3,4,1424,1355,1620,1600,WN,823,N725SW,56,65,42,20,29,MDW,SDF,271,5,9,0,N,0,10,0,0,0,10
653,863,2008,1,3,4,2140,2000,2,2230,WN,421,N205WN,262,270,242,92,100,MDW,SEA,1733,4,16,0,N,0,92,0,0,0,0
655,865,2008,1,3,4,824,755,1049,1025,WN,2702,N209WN,265,270,247,24,29,MDW,SEA,1733,5,13,0,N,0,24,0,0,0,0
656,866,2008,1,3,4,2131,1915,29,2205,WN,1009,N478WN,298,290,274,144,136,MDW,SFO,1855,4,20,0,N,0,0,135,8,0,1
657,867,2008,1,3,4,1736,1305,2031,1555,WN,1837,N761RR,295,290,268,276,271,MDW,SFO,1855,4,23,0,N,0,266,0,5,0,5
658,868,2008,1,3,4,1319,950,1615,1240,WN,3846,N751SW,296,290,267,215,209,MDW,SFO,1855,4,25,0,N,0,200,0,6,0,9
659,869,2008,1,3,4,824,735,1059,1020,WN,220,N275WN,275,285,260,39,49,MDW,SJC,1838,4,11,0,N,0,39,0,0,0,0
660,870,2008,1,3,4,1900,1815,2141,2100,WN,2199,N900WN,281,285,265,41,45,MDW,SJC,1838,5,11,0,N,0,41,0,0,0,0
661,871,2008,1,3,4,1024,925,1245,1155,WN,151,N750SA,201,210,186,50,59,MDW,SLC,1258,6,9,0,N,0,30,0,0,0,20
662,872,2008,1,3,4,1725,1640,1948,1910,WN,1662,N461WN,203,210,185,38,45,MDW,SLC,1258,4,14,0,N,0,38,0,0,0,0
663,873,2008,1,3,4,2052,1930,2319,2200,WN,163,N469WN,267,270,253,79,82,MDW,SMF,1790,4,10,0,N,0,15,0,0,0,64
664,874,2008,1,3,4,840,825,1116,1055,WN,3145,N201LV,276,270,253,21,15,MDW,SMF,1790,3,20,0,N,0,15,0,6,0,0
665,875,2008,1,3,4,1138,1000,1235,1105,WN,29,N652SW,57,65,46,90,98,MDW,STL,251,3,8,0,N,0,86,0,0,0,4
667,877,2008,1,3,4,2208,2125,2259,2225,WN,393,N278WN,51,60,40,34,43,MDW,STL,251,3,8,0,N,0,34,0,0,0,0
668,878,2008,1,3,4,1934,1855,2037,2000,WN,490,N651SW,63,65,45,37,39,MDW,STL,251,4,14,0,N,0,15,0,0,0,22
669,882,2008,1,3,4,634,625,740,725,WN,1586,N293,66,60,46,15,9,MDW,STL,251,4,16,0,N,0,9,0,6,0,0
671,885,2008,1,3,4,1754,1655,1853,1800,WN,2263,N514SW,59,65,49,53,59,MDW,STL,251,4,6,0,N,0,47,0,0,0,6
672,886,2008,1,3,4,1355,1305,1451,1410,WN,2361,N348SW,56,65,44,41,50,MDW,STL,251,4,8,0,N,0,39,0,0,0,2
676,890,2008,1,3,4,2221,2050,135,20,WN,514,N432WN,134,150,122,75,91,MDW,TPA,997,3,9,0,N,0,44,0,0,0,31
678,892,2008,1,3,4,1841,1625,2200,2000,WN,1153,N440LV,139,155,126,120,136,MDW,TPA,997,6,7,0,N,0,29,0,0,0,91
680,894,2008,1,3,4,1149,1105,1424,1350,WN,280,N460WN,215,225,202,34,44,MDW,TUS,1440,3,10,0,N,0,25,0,0,0,9
681,895,2008,1,3,4,2015,1845,2301,2130,WN,422,N779SW,226,225,210,91,90,MDW,TUS,1440,4,12,0,N,0,18,0,1,0,72
685,900,2008,1,3,4,2211,2130,2327,2300,WN,2038,N674AA,76,90,64,27,41,MHT,BWI,377,3,9,0,N,0,3,0,0,0,24
686,903,2008,1,3,4,1512,1445,1656,1620,WN,2437,N225WN,104,95,69,36,27,MHT,BWI,377,27,8,0,N,0,11,0,9,0,16
687,904,2008,1,3,4,1755,1715,1910,1850,WN,2611,N458WN,75,95,60,20,40,MHT,BWI,377,5,10,0,N,0,4,0,0,0,16
689,906,2008,1,3,4,1404,1305,1518,1435,WN,3691,N257WN,74,90,61,43,59,MHT,BWI,377,3,10,0,N,0,4,0,0,0,39
690,907,2008,1,3,4,754,645,1028,950,WN,2719,N466WN,334,365,320,38,69,MHT,LAS,2356,5,9,0,N,0,38,0,0,0,0
693,910,2008,1,3,4,1909,1650,2158,2010,WN,2213,N291WN,169,200,155,108,139,MHT,MCO,1142,3,11,0,N,0,6,0,0,0,102
694,912,2008,1,3,4,2332,2115,216,30,WN,3680,N606SW,164,195,155,106,137,MHT,MCO,1142,3,6,0,N,0,0,0,0,0,106
695,913,2008,1,3,4,1048,1005,1201,1140,WN,813,N679AA,133,155,117,21,43,MHT,MDW,838,6,10,0,N,0,3,0,0,0,18
697,915,2008,1,3,4,1824,1750,1941,1925,WN,2888,N713SW,137,155,124,16,34,MHT,MDW,838,6,7,0,N,0,0,0,0,0,16
698,916,2008,1,3,4,1448,1410,1601,1545,WN,2900,N761RR,133,155,120,16,38,MHT,MDW,838,6,7,0,N,0,8,0,0,0,8
700,918,2008,1,3,4,1740,1630,1852,1800,WN,312,N604SW,72,90,57,52,70,MHT,PHL,290,6,9,0,N,0,12,0,0,0,40
703,921,2008,1,3,4,950,920,1105,1045,WN,2463,N771SA,75,85,57,20,30,MHT,PHL,290,7,11,0,N,0,16,0,0,0,4
704,922,2008,1,3,4,1300,1210,1417,1340,WN,3316,N290WN,77,90,65,37,50,MHT,PHL,290,4,8,0,N,0,4,0,0,0,33
707,925,2008,1,3,4,946,755,1259,1125,WN,3241,N221WN,193,210,164,94,111,MHT,TPA,1204,5,24,0,N,0,94,0,0,0,0
709,928,2008,1,3,4,1249,1120,1343,1235,WN,521,N781WN,54,75,47,68,89,MSY,BHM,321,2,5,0,N,0,60,0,0,0,8
710,932,2008,1,3,4,837,825,1204,1140,WN,432,N643SW,147,135,140,24,12,MSY,BWI,998,2,5,0,N,0,12,0,12,0,0
712,936,2008,1,3,4,1626,1505,1748,1630,WN,1936,N295WN,82,85,71,78,81,MSY,DAL,437,5,6,0,N,0,65,0,0,0,13
715,940,2008,1,3,4,1530,1355,1634,1505,WN,223,N677AA,64,70,54,89,95,MSY,HOU,303,4,6,0,N,0,82,0,0,0,7
716,941,2008,1,3,4,2007,1930,2106,2040,WN,570,N357SW,59,70,53,26,37,MSY,HOU,303,2,4,0,N,0,0,0,0,0,26
718,943,2008,1,3,4,1316,1135,1413,1245,WN,689,N426WN,57,70,50,88,101,MSY,HOU,303,3,4,0,N,0,55,0,0,0,33
719,944,2008,1,3,4,1708,1645,1815,1755,WN,1192,N274WN,67,70,55,20,23,MSY,HOU,303,3,9,0,N,0,10,0,0,0,10
724,957,2008,1,3,4,1740,1645,1948,1855,WN,714,N305SW,128,130,115,53,55,MSY,MDW,825,7,6,0,N,0,8,0,0,0,45
725,958,2008,1,3,4,1324,1230,1548,1510,WN,169,N550WN,204,220,193,38,54,MSY,PHX,1301,5,6,0,N,0,3,0,0,0,35
726,960,2008,1,3,4,1406,1240,1622,1505,WN,788,N427WN,76,85,67,77,86,MSY,TPA,487,4,5,0,N,0,64,0,0,0,13
728,962,2008,1,3,4,1148,1055,1459,1410,WN,45,N631SW,131,135,110,49,53,OAK,ABQ,889,5,16,0,N,0,49,0,0,0,0
729,964,2008,1,3,4,1938,1920,2256,2230,WN,527,N727SW,138,130,107,26,18,OAK,ABQ,889,5,26,0,N,0,0,0,8,0,18
730,965,2008,1,3,4,1152,1120,1802,1730,WN,882,N774SW,250,250,232,32,32,OAK,BNA,1959,5,13,0,N,0,21,0,0,0,11
731,966,2008,1,3,4,1051,1010,1314,1240,WN,783,N306SW,83,90,66,34,41,OAK,BOI,511,3,14,0,N,0,12,0,0,0,22
732,967,2008,1,3,4,1953,1935,2218,2200,WN,2612,N479WN,85,85,64,18,18,OAK,BOI,511,3,18,0,N,0,18,0,0,0,0
733,968,2008,1,3,4,1632,1615,1738,1720,WN,346,N489WN,66,65,48,18,17,OAK,BUR,325,3,15,0,N,0,0,0,1,0,17
734,969,2008,1,3,4,2000,1855,2109,2000,WN,444,N682SW,69,65,49,69,65,OAK,BUR,325,2,18,0,N,0,0,0,4,0,65
735,970,2008,1,3,4,1502,1445,1607,1550,WN,481,N413WN,65,65,49,17,17,OAK,BUR,325,2,14,0,N,0,14,0,0,0,3
736,971,2008,1,3,4,1229,1135,1341,1240,WN,891,N400WN,72,65,49,61,54,OAK,BUR,325,2,21,0,N,0,1,0,7,0,53
737,972,2008,1,3,4,2051,2015,2151,2120,WN,1150,N235WN,60,65,48,31,36,OAK,BUR,325,2,10,0,N,0,14,0,0,0,17
739,976,2008,1,3,4,1628,1520,1729,1625,WN,1311,N605SW,61,65,50,64,68,OAK,BUR,325,1,10,0,N,0,17,0,0,0,47
740,979,2008,1,3,4,1816,1750,1921,1855,WN,2550,N771SA,65,65,49,26,26,OAK,BUR,325,2,14,0,N,0,13,0,0,0,13
741,980,2008,1,3,4,1243,1220,1345,1325,WN,2614,N602SW,62,65,50,20,23,OAK,BUR,325,2,10,0,N,0,20,0,0,0,0
742,981,2008,1,3,4,2059,1930,2206,2035,WN,2732,N705SW,67,65,48,91,89,OAK,BUR,325,2,17,0,N,0,15,0,2,0,74
743,983,2008,1,3,4,2146,2050,2251,2155,WN,3589,N601WN,65,65,51,56,56,OAK,BUR,325,2,12,0,N,0,13,0,0,0,43
746,986,2008,1,3,4,1740,1650,2055,2015,WN,497,N445WN,135,145,113,40,50,OAK,DEN,957,8,14,0,N,0,0,0,7,0,33
747,987,2008,1,3,4,2010,1910,2326,2235,WN,1426,N720WN,136,145,114,51,60,OAK,DEN,957,8,14,0,N,0,10,0,0,0,41
750,990,2008,1,3,4,2155,1940,2350,2140,WN,223,N223WN,115,120,93,130,135,OAK,GEG,723,5,17,0,N,0,19,0,0,0,111
752,992,2008,1,3,4,1620,1520,2144,2100,WN,78,N268WN,204,220,189,44,60,OAK,HOU,1642,3,12,0,N,0,14,0,0,0,30
753,994,2008,1,3,4,1623,1500,1752,1625,WN,302,N473WN,89,85,62,87,83,OAK,LAS,407,4,23,0,N,0,83,0,4,0,0
754,995,2008,1,3,4,2154,2040,2314,2205,WN,428,N683SW,80,85,63,69,74,OAK,LAS,407,4,13,0,N,0,2,0,0,0,67
755,996,2008,1,3,4,1322,1245,1444,1410,WN,500,N799SW,82,85,64,34,37,OAK,LAS,407,3,15,0,N,0,34,0,0,0,0
756,1000,2008,1,3,4,2059,1945,2220,2105,WN,890,N788SA,81,80,61,75,74,OAK,LAS,407,6,14,0,N,0,41,0,1,0,33
757,1002,2008,1,3,4,1504,1355,1631,1520,WN,1585,N766SW,87,85,66,71,69,OAK,LAS,407,8,13,0,N,0,50,0,2,0,19
759,1004,2008,1,3,4,1615,1540,1741,1705,WN,2632,N784SW,86,85,65,36,35,OAK,LAS,407,5,16,0,N,0,16,0,1,0,19
760,1005,2008,1,3,4,1647,1630,1829,1755,WN,3327,N282WN,102,85,59,34,17,OAK,LAS,407,20,23,0,N,0,2,0,17,0,15
761,1006,2008,1,3,4,2142,2120,2310,2245,WN,3396,N787SA,88,85,59,25,22,OAK,LAS,407,17,12,0,N,0,22,0,3,0,0
762,1007,2008,1,3,4,1816,1745,1954,1910,WN,3940,N434WN,98,85,61,44,31,OAK,LAS,407,20,17,0,N,0,0,0,13,0,31
764,1009,2008,1,3,4,928,900,1042,1020,WN,96,N311SW,74,80,54,22,28,OAK,LAX,337,6,14,0,N,0,9,0,0,0,13
765,1011,2008,1,3,4,1551,1530,1704,1645,WN,230,N364SW,73,75,52,19,21,OAK,LAX,337,6,15,0,N,0,9,0,0,0,10
766,1012,2008,1,3,4,2015,2000,2138,2120,WN,252,N359SW,83,80,59,18,15,OAK,LAX,337,7,17,0,N,0,3,0,3,0,12
768,1017,2008,1,3,4,1821,1730,1949,1845,WN,925,N384SW,88,75,58,64,51,OAK,LAX,337,8,22,0,N,0,8,0,13,0,43
769,1018,2008,1,3,4,1426,1400,1545,1515,WN,1107,N708SA,79,75,51,30,26,OAK,LAX,337,19,9,0,N,0,19,0,4,0,7
770,1019,2008,1,3,4,2221,2100,2335,2215,WN,1192,N274WN,74,75,52,80,81,OAK,LAX,337,9,13,0,N,0,18,0,0,0,62
771,1020,2008,1,3,4,1937,1830,2051,1945,WN,1485,N605SW,74,75,52,66,67,OAK,LAX,337,6,16,0,N,0,1,0,0,0,65
772,1021,2008,1,3,4,1730,1600,1859,1715,WN,1671,N684WN,89,75,55,104,90,OAK,LAX,337,15,19,0,N,0,1,0,14,0,89
773,1023,2008,1,3,4,1731,1700,1844,1815,WN,2208,N632SW,73,75,53,29,31,OAK,LAX,337,6,14,0,N,0,0,0,0,0,29
774,1025,2008,1,3,4,1122,1100,1237,1215,WN,2733,N647SW,75,75,57,22,22,OAK,LAX,337,6,12,0,N,0,9,0,0,0,13
776,1027,2008,1,3,4,1827,1800,1952,1915,WN,3394,N667SW,85,75,55,37,27,OAK,LAX,337,7,23,0,N,0,13,0,10,0,14
777,1028,2008,1,3,4,1935,1900,2049,2015,WN,3939,N654SW,74,75,53,34,35,OAK,LAX,337,5,16,0,N,0,13,0,0,0,21
779,1030,2008,1,3,4,1433,1340,1936,1905,WN,3829,N465WN,183,205,170,31,53,OAK,MCI,1489,5,8,0,N,0,23,0,0,0,8
780,1032,2008,1,3,4,1519,1425,2102,2025,WN,514,N432WN,223,240,210,37,54,OAK,MDW,1844,5,8,0,N,0,19,0,0,0,18
781,1034,2008,1,3,4,1358,1210,1953,1815,WN,1136,N733SA,235,245,213,98,108,OAK,MDW,1844,7,15,0,N,0,25,0,0,0,73
782,1035,2008,1,3,4,1943,1715,137,2310,WN,2091,N426WN,234,235,204,147,148,OAK,MDW,1844,6,24,0,N,0,19,0,0,0,128
784,1038,2008,1,3,4,2115,2000,2235,2115,WN,464,N795SW,80,75,56,80,75,OAK,ONT,361,5,19,0,N,0,24,0,5,0,51
785,1039,2008,1,3,4,2217,2050,2329,2205,WN,582,N629SW,72,75,56,84,87,OAK,ONT,361,5,11,0,N,0,21,0,0,0,63
786,1040,2008,1,3,4,1812,1705,1926,1820,WN,835,N460WN,74,75,54,66,67,OAK,ONT,361,4,16,0,N,0,14,0,0,0,52
787,1041,2008,1,3,4,1323,1245,1452,1400,WN,898,N328SW,89,75,57,52,38,OAK,ONT,361,5,27,0,N,0,17,0,14,0,21
788,1042,2008,1,3,4,1932,1850,2051,2005,WN,988,N636WN,79,75,57,46,42,OAK,ONT,361,5,17,0,N,0,8,0,4,0,34
789,1047,2008,1,3,4,1550,1540,1710,1655,WN,3765,N654SW,80,75,55,15,10,OAK,ONT,361,4,21,0,N,0,7,0,5,0,3
790,1049,2008,1,3,4,1743,1650,1921,1830,WN,430,N328SW,98,100,79,51,53,OAK,PDX,543,4,15,0,N,0,29,0,0,0,22
792,1051,2008,1,3,4,2238,2115,6,2255,WN,644,N423WN,88,100,73,71,83,OAK,PDX,543,5,10,0,N,0,8,0,0,0,63
793,1052,2008,1,3,4,2022,1940,2157,2120,WN,829,N476WN,95,100,72,37,42,OAK,PDX,543,8,15,0,N,0,11,0,0,0,26
795,1054,2008,1,3,4,2230,2050,104,2340,WN,190,N378SW,94,110,84,84,100,OAK,PHX,646,2,8,0,N,0,0,0,6,0,78
798,1058,2008,1,3,4,2015,1815,2255,2110,WN,1222,N304SW,100,115,86,105,120,OAK,PHX,646,4,10,0,N,0,2,0,0,0,103
799,1059,2008,1,3,4,1209,1125,1447,1415,WN,1686,N207WN,98,110,86,32,44,OAK,PHX,646,3,9,0,N,0,6,0,0,0,26
800,1061,2008,1,3,4,1727,1605,1824,1655,WN,985,N752SW,57,50,31,89,82,OAK,RNO,180,5,21,0,N,0,14,0,7,0,68
803,1064,2008,1,3,4,1330,1255,1435,1345,WN,3502,N601WN,65,50,33,50,35,OAK,RNO,180,4,28,0,N,0,30,0,15,0,5
804,1065,2008,1,3,4,1736,1650,1858,1815,WN,318,N474WN,82,85,61,43,46,OAK,SAN,446,4,17,0,N,0,0,0,1,0,42
806,1069,2008,1,3,4,1457,1430,1613,1550,WN,828,N270WN,76,80,66,23,27,OAK,SAN,446,2,8,0,N,0,17,0,0,0,6
808,1071,2008,1,3,4,1213,1140,1332,1305,WN,1065,N473WN,79,85,64,27,33,OAK,SAN,446,3,12,0,N,0,5,0,0,0,22
809,1072,2008,1,3,4,1813,1745,1945,1910,WN,1255,N361SW,92,85,66,35,28,OAK,SAN,446,3,23,0,N,0,0,0,7,0,28
810,1073,2008,1,3,4,1945,1930,2110,2055,WN,2269,N489WN,85,85,61,15,15,OAK,SAN,446,3,21,0,N,0,0,0,5,0,10
811,1075,2008,1,3,4,1421,1330,1539,1455,WN,2719,N466WN,78,85,64,44,51,OAK,SAN,446,4,10,0,N,0,18,0,0,0,26
812,1076,2008,1,3,4,1651,1620,1818,1745,WN,2884,N795SW,87,85,67,33,31,OAK,SAN,446,4,16,0,N,0,11,0,2,0,20
814,1078,2008,1,3,4,2056,2010,2221,2135,WN,3058,N224WN,85,85,66,46,46,OAK,SAN,446,4,15,0,N,0,12,0,0,0,34
815,1083,2008,1,3,4,1503,1415,1729,1615,WN,237,N281WN,146,120,91,74,48,OAK,SEA,671,5,50,0,N,0,8,0,26,0,40
